,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
369,Oussouye,12.48,-16.55,80.6,88,20,2.24,SN
370,Cooma,-36.23,149.13,59.0,58,75,8.05,AU
371,Kondinskoye,59.65,67.41,46.02,96,98,6.2,RU
372,Ondangwa,-17.92,15.95,66.2,7,0,2.24,NA
373,Porto União,-26.24,-51.08,67.14,70,100,3.38,BR
374,Itoman,26.12,127.67,84.2,83,75,8.05,JP
375,Paamiut,61.99,-49.67,39.11,89,100,14.12,GL
376,Basco,20.45,121.97,85.01,81,63,22.41,PH
377,Assiut,27.18,31.18,80.6,51,0,6.93,EG
378,Santa,17.49,120.43,80.1,77,0,4.32,PH
379,Avigliana,45.08,7.4,71.01,49,30,1.01,IT
380,Suez,29.97,32.53,76.41,84,0,10.02,EG
381,Costa Rica,-23.42,-54.65,79.32,34,24,4.47,BR
382,Gizo Government Station,-8.1,156.84,84.56,72,76,11.45,SB
383,Mil'kovo,54.72,158.62,53.69,55,67,5.41,RU
384,Ahipara,-35.17,173.17,60.87,69,7,8.25,NZ
385,Port Blair,11.67,92.75,82.09,79,98,15.97,IN
386,Isabela,6.71,121.97,73.4,94,90,9.17,PH
387,Caucaia,-3.74,-38.65,80.6,78,20,11.41,BR
388,Mazamari,-11.33,-74.53,79.75,50,58,1.41,PE
389,Ixtapa,20.7,-105.2,84.99,79,75,3.36,MX
390,Río Gallegos,-51.62,-69.22,46.4,52,40,19.46,AR
391,Rio Grande,-32.03,-52.1,58.14,92,40,6.69,BR
392,Tateyama,34.98,139.87,78.01,92,89,3.65,JP
393,Mogadishu,2.04,45.34,77.95,82,44,13.82,SO
394,Paracuru,-3.41,-39.03,79.0,75,2,17.0,BR
395,Kenai,60.55,-151.26,55.4,76,20,10.29,US
396,Sur,22.57,59.53,82.81,63,75,4.85,OM
397,Acaraú,-2.89,-40.12,78.17,80,3,16.64,BR
398,Sakakah,29.97,40.21,84.2,14,0,9.17,SA
399,Gijang,35.24,129.21,71.6,88,75,4.7,KR
400,Sapa,5.15,120.32,76.78,90,100,16.55,PH
401,Altamont,42.21,-121.74,86.0,12,1,16.11,US
402,Sokoto,13.06,5.24,76.55,82,89,11.7,NG
403,Rosário Oeste,-14.84,-56.43,89.69,19,10,3.11,BR
404,Cairns,-16.92,145.77,73.4,94,90,11.41,AU
405,San Rafael,-34.62,-68.33,65.08,28,0,9.37,AR
406,Ingham,42.6,-84.38,73.4,64,75,3.36,US
407,Siocon,7.71,122.14,77.76,87,100,5.73,PH
408,Husavik,66.04,-17.34,51.8,71,40,26.4,IS
409,Eureka,40.8,-124.16,73.0,88,90,3.36,US
410,Barabash,43.2,131.48,64.4,93,75,11.18,RU
411,Turan,16.07,108.22,80.6,88,75,2.24,VN
412,Maceió,-9.67,-35.74,75.2,73,20,4.7,BR
413,Key Largo,25.09,-80.45,84.0,70,59,1.99,US
414,Bumba,2.18,22.47,72.48,89,7,1.16,CD
415,Trelew,-43.25,-65.31,64.4,28,40,17.22,AR
416,Margherita,27.28,95.68,73.89,92,89,2.04,IN
417,Richards Bay,-28.78,32.04,67.64,74,95,16.8,ZA
418,Gondanglegi,-7.75,112.01,73.31,76,6,7.83,ID
419,‘Ewa Beach,21.32,-158.01,89.6,58,1,11.41,US
420,Lázaro Cárdenas,17.96,-102.2,83.14,76,26,4.16,MX
421,Cabedelo,-6.98,-34.83,73.4,94,75,13.87,BR
422,Gamba,-2.65,10.0,74.59,88,100,9.08,GA
423,Barcelos,41.54,-8.62,66.0,93,15,2.15,PT
424,Chandler,33.31,-111.84,108.0,6,1,8.05,US
425,Baruun-Urt,46.68,113.28,45.09,75,96,11.72,MN
426,Kologriv,58.83,44.32,37.35,92,70,0.78,RU
427,Bossangoa,6.49,17.46,71.37,92,22,2.84,CF
